national_species_latin,fauna_europea_species_latin,local_species_norwegian
Ochlodes sylvanus,Ochlodes sylvanus,Engsmyger
Lycaena virgaureae,Lycaena virgaureae,Oransjegullvinge
Plebejus argyrognomon,Plebejus argyrognomon,LakrismjeltblÃ¥vinge
Pararge aegeria,Pararge aegeria,Skogringvinge
Colias hecla,Colias hecla,Mjeltgulvinge
Erebia embla,Erebia embla,Emblas Ringvinge
Eumedonia eumedon,Eumedonia eumedon,Brun BlÃ¥vinge
Lasiommata megera,Lasiommata megera,SÃ¸rringvinge
Agriades aquilo,Agriades aquilo,PolarblÃ¥vinge
Lasiommata maera,Lasiommata maera,Klipperingvinge
Boloria freija,Boloria freija,FrÃ¸yas Perlemorvinge
Hipparchia hermione,Hipparchia hermione,Svabergringvinge
Aphantopus hyperantus,Aphantopus hyperantus,Gullringvinge
Glaucopsyche alexis,Glaucopsyche alexis,KlÃ¸verblÃ¥vinge
